ucarii,dibujo de un ser animado.
ucatuure,escribir.
ucayaare,curar con medicina.
ucu,"guayabas. Psidium spp., P. guajava."
ucua ʉ,mico de noche. Aotus vociferans.
ucuʉ,"guayabo. pl. ucuʉ yucʉ , ucuʉ yucʉ r V. ucu."
udire,"1 inhalar. 2 fumar. 3 chupar (flor, paja, etc.). 4 aspirar, limpiar (con aspiradora)."
uditaa,1 bigotes del gato. 2 antenas (insecto).
uga,"plumas blancas, plumaje blanco de la garza real. 306 ugaro soporte para las plumas de la danza"
ugaro,"soporte para las plumas de la danza (las plumas de la garza y el tucán fijado a un tallo de la planta del banano). V. maja joaro, uga, ũmar ayas . ugʉ aullador o aullidor colorado, mono aullador, mono colorado, guariba, coto"
ugʉ,"aullador o aullidor colorado, mono aullador, mono colorado, guariba, coto. Alouatta seniculus."
ugue,"ugui u g interj. ¡oh!, ¡ay! (exclamación de miedo o temor)."
uju,"pez palometa, pacú (bras., ger.). Molopus spp., Mylossoma spp."
uju mene,"fruta de tabebuia y tectona (que se encuentra en las orillas del río). Tabebuia spp. pl. uju mene, uju menerori. V. uju meneʉ."
uju eneʉ,arbusto de tabebuia y tectona.
Uo,"piedra que representa la primera mujer, ascendiente, antepasada."
uria,"corneta de barro. pl. uri, uriari. V. uriro. uriro Utuya Eduria & Barasana – Español – 307 uriro corneta de barro"
uriro,corneta de barro (más larga que la corneta uria).
usaca,"barbudito (especie de pez siluro comestible con manchas por la espalda y espinas que chuzan, como diez cm. de largo). Cetopsorhamdia sp."
usacajotaʉ,especie de mata espinosa (utilizada para aliviar el dolor). V. yusi.
usare,hacer casabe.
usica,"an.s.plural arenillas, mosquitos, jejenes usica (muy pequeñas y negras; pican por la tarde y hacen picazón)."
usure,besar.
utia,"an.s.plural avispas. O. Hymenoptera, F. Vespidae."
utu,pájaro barranquero coronado. Momotus momota.
Utuya,"1 caño Utuya (afluente del río Pirá-Paraná que desemboca en las cabeceras). 2 comunidad, pueblo de Utuya. 3. ũgʉ , ũgõ ũ are Eduria & Barasana – Español – 308 Ũ - ũ"
"ũgʉ , ũgõ","s.v.m., f. 1 como él, como ella; semejante (en hecho o experiencia). 2 uno, una que pertenece a; representante de un grupo (por la manera de actuar, etc.)."
ũjubʉcʉare,crecer por mamar.
ũjuore,"dar pecho a, amamantar."
ũjure,"mamar, chupar (teta)."
ũjureare,chupar y escupir de la mordedura de culebra.
ũ a,an.s.plural ranas ũ a (especie comestible).
ũ á,"tenga!, ¡cójalo! (comida, bebida, libro, etc.). gram. ũ áʉ ‘¡tenga! (de distancia)’. sinón. máa, mee, ʉ jʉ. ũ a cũ uro charapa"
ũ a cũ uro,especie de charapa (tortuga acuática). Podocnemis spp.
ṹ aejore,ũ m o e J] v.t. cargar algo y dejarlo al destino.
ũ aguẽro,rana de Bokermann (especie no comestible). Hyla cf. bokermanni.
ṹ ajẽore,cargar por la espalda y cruzar por un puente.
ũ a ñarã,"an.s.plural grupo étnico entre los barasanas. sing. ũma ñarãgʉ , ũma ñarãgõ. V. jãnerã."
"ũ añicʉ, ũ añico","m., f. suegro, suegra."
ũ are,correr. 309 agʉ ya i ĩi. Él está cargando un bulto por la espalda.
ṹ are,cargar por la espalda (con una correa o cinturón que pasa por la frente).
ũ aria,"pepas que se pegan a la ropa. sing. ũmar a pl. ũmar a, ũmar ar . ũ ariajotia prenda de plumas para la danza"
ũ ariajotia,"prenda de plumas para la danza que se cuelga de la cabeza hacia la espalda (hecha de plumas, pelo de ardilla, hueso del tigre, caracoles, etc. atados a un corte de tallo de plátano enrollado con cáscara del árbol ãga yuruʉ)."
ũ ariayasi,pelo enrollado del mono chucuto (que se cuelga de la prenda de la danza).
ũ aribedo,"bicicleta, motocicleta."
ũ arica,1 carro. 2 camión.
ũ asʉyare,perseguir corriendo.
ũ ato ñaare,ser el líder.
ũ ato wauwase,"ũ m to w úw s J] v.i. hacer pan crecer, aumentar el volumen (hecho por la levadura)."
ũ ato yire,"ũ ayuuse ũquere Eduria & Barasana – Español – 310 v.t. dirigir, guiar, encabezar."
ũ ayuuse,"correr (caño, río)."
ũ u,"mochilero, oropéndola."
ũ u rise ñiigʉ,"mũ s ĩĩ J] an. oropéndola oliva, oropéndola común (especies grandes, con picos negros). Gymnostinops yuracares."
ũ u gasero,especie de cucaracha (que se encuentra en la chagra y en las cáscaras de los palos secos).
Ũ uña,"caño, afluente del río Pirá-Paraná (debajo de Piedra Ñii y arriba de Naju goje cerca de Cõmeña). V. apén. mapa3."
ũno,"como éste, ése; ésta, ésa; esto; semejante (en manera o función)."
ũñu,"aguacates. Persea gratissima (Gaerthner) (sin.) Laurus indica (Siebmann, L. Persea L, P. americana (Miller), P. praecox (Poep.). sing. ũñua pl. ũñu, ũñuar V. ũñuʉ. ũñu agua dulce, chúbano o chúvano, peje dulce"
ṹñu,"agua dulce (reg.), peje dulce (reg.), chúbano o chúvano (reg. especie de pescado comestible)."
ũñu ãña,especie de culebra cazadora (comestible).
ũñuʉ,árbol de aguacate.
ũquere,calentar fruta hasta que se ʉaqueare ʉco Eduria & Barasana – Español – 311 ablande.
ʉaqueare,"quemarse bien, hasta la tierra."
ʉare,"quemarse, arder, encenderse (cosa, persona)."
ʉari coto,coquito (especie de ibis). Phimosus infuscatus.
ʉase,"estar) quemado, quemada (pescado, casabe, etc.)."
ʉasease,quemarse en una parte.
ʉcare,"asustarse, brincar de sorpresa; (estar) sorprendido, sorprendida; asombrado, asombrada."
ʉco,"inan.s.de masa droga, medicamento, medicina, remedio."
ʉco yiriawii,puesto de salud. 312 años de haber reparado/arreglado el puesto de salud.
ʉ co,"inan.s.de masa carnada, cebo."
ʉco cõ ea,hacha de piedra.
ʉcoje,"rocío, sereno, lluvia."
Ʉco jĩno,"carácter mítico, el ascendiente, antepasado de los eduria."
Ʉco jĩno yaa bota,"ó ĩn d ót J] inan. cerro ubicado en la cabecera del río Vaupés (uso: se dice menos que Gʉ ta sariʉ). sinón. Gʉ ta sar ʉ, Jee jũna bota. V. gʉ taʉ, Ʉco jĩno."
ʉcore,"asustar, sorprender."
ʉco sotʉ,"inan.s.de masa 1 tucupí (bras. olla de manicuera espesa más ají). 2 quiñapira (reg. caldo muy concentrado de ají cocinado en agua que se utiliza para sopetear casabe; uso: a veces utilizan bia sotʉ para hablar de ʉco sotʉ). V. a sotʉ, ñuca."
ʉcʉre,"1 engordar. 2 hincharse, to swell."
ʉeore,"ensuciar, enturbiar agua de un cañito (generalmente en el proceso de envenenar peces)."
ʉere,sacudir (árbol).
ʉeri,"mugre, suciedad."
ʉeri wãase,"ser/estar) manchado, manchada."
ʉese,"estar flojo, floja; estar inseguro, insegura (palos)."
ʉése,"estar) sucio, sucia (cosa)."
ʉjare,"adueñarse, poseer. 313 Ustedes escogen la casa que quieren adueñarse."
ʉjore,"hacer poseer, hacer heredar, hacer adueñar."
"ʉjʉ, ʉjo","s.v.m., f. jefe, jefa; dueño, dueña."
ʉore,"desear, codiciar (cosa, persona)."
ʉsaca budise,sudar.
ʉsaca buuse,hacer sudar.
ʉsare,"tener frío, hacer frío."
"ʉsarijata, ʉsarijataro E","ʉsarirãca J s s.v.inan. nevera, refrigeradora o refrigerador."
ʉsase,"estar) frío, fría (cosa)."
ʉse,"inan.s.de masa bagazo, desperdicios."
ʉsere,"tejer carrizos, abanicos (por pasar bejuco o cuerda entre palitos, cañas, etc.)."
ʉseriaraje,envase hecho de pachúa (en forma de cilíndrica y tejido con bejuco). V. rujaraje.
ʉsʉ,1 alma. 2 estómago.
ʉsʉ cʉtire,"estar) satisfecho, satisfecha (después de comer, persona, animal)."
ʉsʉ jeare,
ʉsʉ jedire,"boquear, respirar con dificultad (un enfermo)."
ʉsʉ sĩnisãare,"314 nuevamente/por sentir alivio). V. sĩn re. ʉsʉ tudire revivir, volver en sí (él que parecía muerto)."
ʉsʉ,"tatacoa, culebra de dos cabezas (especie de lagarto que no tiene patas y generalmente se encuentra en el suelo). Amphisbaena alba."
ʉsʉa,corazón.
ʉsʉcõare,respirar.
ʉsʉcõarijoa,pulmones.
ʉtabʉcʉra,"laguna, lago."
ʉtara,"inan., cl.irreg. remanso, cancha del río (parte ancha del río)."
ʉye,"inan.s.de masa 1 grasa (vegetal), aceite de cocina. 2 manteca (grasa de seres vivos). 315 ʉto ʉye ja gʉ ñaañum El animal fue llena de manteca. 3 grasa lubricante. 4 gasolina, combustible."
ʉyebʉ,"uvo (reg.), caimarón, árbol de uvas amazónicas. Pourouma cecnapiaefolia. pl. ʉye ʉr V. ruja ʉ."
ʉyegodoa,"botella que contenía aceite. V. rujaa, rujagodo. ʉyebʉ caimarón, uvo, árbol de uvas amazónicas Ʉyeriya inan. caño, afluente del río Pirá-Paraná (arriba de Sonaña). V. apén. mapa3. ʉyetõo racimo de caimarón, uvas amazónicas"
ʉyetõo,"racimo de caimarón, uvas amazónicas. V. rujatõo. Ʉ - ʉ"
ʉ cʉabeto,"ser/estar) poco hondo, poco profundo (agua). V. ʉ cʉaro."
ʉ cʉaro,"ser/estar) profundo, hondo (agua)."
ʉ jaʉ,ʉ ʉjʉ interj. sí.
ʉ jʉ,"tenga!, ¡cójalo! (comida, bebida, libro, etc.). sinón. máa, mee, ũmá."
ʉ jʉbusuose,iluminar.
ʉ jʉ ʉose,s.v.inan.s.de masa llamas y humo.
ʉ jʉri,"casabe tostado para hacer chicha (no se pasa al colador). 316 jʉ ocama ĩna, d re quẽnorã Ellas tuestan casabe para hacer chicha. pl. ʉ jʉr , ʉ jʉr ror , ʉ jʉr tor YM. sing. ʉ jʉr ro, ʉ jʉr to YM ‘ un pedazo, una torta de casa e de t o ‘ʉ jʉr ’’ ."
ʉ jʉse,"arder, encenderse, quemarse (llamas)."
ʉ ʉ,"hombre, varón, macho (ser de sexo masculino)."
ʉ ʉa,día.
"ʉ ʉaagʉ uiju E, J",ʉ ʉaagʉ ujiju YM m. sol.
Ʉ ʉaberoagodo,m ó gódo J] inan. sitio sagrado del origen de los eduria.
ʉ ʉabeti,"ser/estar) bajo, baja (árbol, palma)."
ʉ ʉa cãne,caimos silvestres (amarillos y comestibles). Chrysophillum Caimito L. spp.
ʉ ʉa cãneʉ,especie de caimo silvestre (que produce fruta comestible). Chrysophillum Caimito L. spp.
ʉ ʉagasero,cielo.
ʉ ʉare,"ser/estar) alto, alta (persona)."
"ʉ ʉarecaji E, J",ʉ aricaji YM s.v.inan. mediodía.
ʉ ʉaricõoriatuti,m ĩ tut J] s.v.inan. calendario (con páginas en forma de un libro). V. ʉ mʉar cõor ajũuro.
ʉ ʉaricõorijũuro,m ĩ ĩ ũ õ J] s.v.inan. calendario de una página o hoja.
ʉ ʉase,"ser/estar) alto, alta (árbol, edificio, cerro)."
ʉ ʉatuti,"último nivel de la atmósfera terrestre (uso: lengua tradicional, indígena). 317 V. rujatuti."
ʉ ne,"chontaduros, pupuñas (bras. frutos comestibles de la palma de chontaduro). Bactris gasipaes, Guilielma gasipaes, Gulielma Chontaduro T."
ʉ nea,pájaro piranga bermeja. Piranga flava.
ʉ ne ini,pájaro azulejo. Thraupis spp.
ʉ neño,"palma de chontaduro, pupuña (bras.). Bactris gasipaes, Guilielma spp. V. ʉ ne, rujaño. ʉ neraje cilindro tejido para guardar pupuña"
ʉ neraje,cilindro tejido de ʉ netõo waáre Eduria & Barasana – Español – 318 pachúa (para guardar pupuña en el caño). V. rujaraje.
ʉ netõo,"racimo de chontaduro, pupuña de chontaduro."
ʉ nise,"dar mal olor, oler muy mal."
waábatere,"ir, salir (en varias direcciones), dispersarse, separarse (para evitar algo como un trabajo o una reunión, personas)."
waácãnamuure,w n m ẽ J] v.t. encontrar (al otro compañero en el camino).
waácoare,"ir, salir."
waácudire,pasear.
waácʉ ore,rozar.
waágãnibiare,"w nĩ J] v.t. cercar, circundar, rodear."
waájedire,ir todos.
waajeore,servir sopa o líquido.
waamaa,"vena, arteria."
waárasare E,waáruyure J v.i. ir y estar escuchado en el proceso.
waare,"sacar (agua) con un recipiente (y cargar, traer). V. oco waare, waajeore, yoojuawaare. Waána yama. Están salidendo."
waáre,"1 ir, andar, salir. 2 venir (uso: solamente tiene este sentido en combinación con los sufijos -yá y -adi y otros sufijos deícticos que indican movimiento hacia wáare wabu Eduria & Barasana – Español – 319 acá). 3 caminar."
wáare,"rajar, partir, cortar (piña, palma pachúa, etc.)."
waárẽtobuure,"w ẽ tõ úú J] v.i. ir por o a través, pasar, cruzar por, a o al través de."
waáriamaa,"camino, trocha, senda."
waáriaro,"modo de pasar, viajar."
waári seyomi J,waáruyumi E v.i. parecer que él se fue.
waárocaroare,"w ó ó J] v.i.sing. irse y entrar, meterse al agua (sin correr ni brincar para bañarse, una persona, animal)."
waárocawaare,"w ó w J] v.t.sing. estrellarse, chocarse, golpear (su cuerpo con otro o una cosa)."
waárujeore,lograr salir.
waáruyumi E,waári seyomi J v.i. parecer que él se fue.
waásãjare,"embarcar, abordar (canoa, avión)."
waáweore,"dejar, abandonar."
waáyojare,"acostarse en hamaca, entrar hamaca."
wabea,an.s.plural barasanas wabea (grupo étnico entre los barasanas).
wabu,"especie de araña (grande y de color moreno, vive en el techo y come cucarachas, no pica a la gente). Heteropoda venatoria. 320 wabu especie de araña"
wabʉ,bambú.
waca,"inan., cl.irreg. dardo."
Waca bota,cerro ubicado en la cabecera del caño llamado “Rííya”.
wacaju,especie de culebra (venenosa).
wacarica jãmo,"w m J] an. armadillo, cachicamo (especie de armadillo grande y comestible). Dasypus kappleri."
wacasa E,wacatori J inan. carcaj (para dardos).
wacasẽa ʉ,especie de insecto acuático (semejante a la cucaracha pero puede ir debajo del agua).
wacatori J,wacasa E inan. carcaj (para dardos). V. buju. Wacaʉ inan. cerro mitológico.
wacʉbʉ,"yarumo (reg. especie de arbusto, maleza que se encuentra generalmente en la chagra). Cecropia spp."
wadeaga,fruta que se encuentra en la mitad de ramas bifurcadas (comienza a madurar antes de las waderecoa wai Eduria & Barasana – Español – 321 demás del grupo en que se encuentra).
waderecoa,"guacharaca, chachalaca variable. Ortalis motmot columbiana."
wadire,venir.
wadise,"rajarse, henderse (en una parte, olla, canoa, coco, huevo)."
wadisʉore,"llegar, venir por primera vez."
wado,puerco espín. Coendu prehensilis.
wadoa,"an.s.plural chisas o chizas, mojojoyes (especie de larva amarilla y blanca, comestible)."
waguejioriarʉ,w g o J] inan. olla grande (que se utiliza para hervir y cocinar).
wai,"an.s.plural pez, peces, pescados. 322 wai yoore pescar (de la orilla del río)."
wai bujua,vejiga natatoria del pez.
wai gũ ariasãne,w m s nẽ J] s.v.inan. envuelto de hojas (para cargar pescados).
wai maataare E,"wai cãmotaare J w m t e v.t. represar un río y poner trampa de pescado. —s.v.inan. trampa para los peces (en forma de cerca a través de un caño o río para detener pescados). sinón. wai taare, wai taariaro. wai sareriaro arpón, sagaya para matar peces wai sareriaro s.v.inan. arpón, sagaya (reg. para matar peces)."
wai taare,"trampa para los peces (en forma de cerca a través de un caño o río para detener pescados). sinón. wai cãmotaare, wai maataare. V. wai taariaro."
wai taariaro,"w t o J] s.v.inan. trampa para los peces (en forma de cerca a través de un caño o río para detener pescados). sinón. wai cãmotaare, wai maataare, wai taare. wai tũna s.v.an. peces sacados durante su desove."
wai wejere,anzuelos.
wai wéjere,"pescar (con una vara). 323 pl. wai wejere roóre, wai wejere roóriari. wai wejeriʉ s.v.inan. caña de pescar."
waibo,bojote de peces (peces engarzados por una cuerda). sinón. waitõo.
wai bujuño,especie de caña (maleza que se encuentra en la orilla de ríos).
waibʉcʉ,"animal (comestible, no incluye los insectos)."
waibʉcʉ rii,inan.s.de masa carne de animal.
waibʉcʉ ríí,"sangre de animal. waibʉcʉ rocariajuria s.v.inan. tronco ahuecado para machacar (carne, hormigas, pepas; tiene una asa)."
waicaje E,ñaquerijo J inan.f.n.esp. chaquiras.
wai cãne,"caimos wai cãne. Chrysophillum Caimito L. spp. sing. wai cãnea. pl. wai cãne, wai cãnea, wai cãneari. V. wa cãneʉ."
wai cãneʉ,"especie de caimo. pl. wa cãneʉr V. cãneʉ, wai cãne. waicõati jacamar negro"
waicõati,jacamar negro. Galbula spp.
wai cõsiro,especie de pez (parecido a la cucha).
wai gaa,"águila barrada (de color café oscuro encima, come pescado). Buteo nitidus."
wai gõa,"pepas del árbol wai gõʉ (especie pequeña, roja y negra, sirve para alimentar a peces y pájaros, encontrada cerca de los ríos). sing. wai gõa."
wai gõʉ,especie de árbol (que produce fruta negra que alimenta a peces y pájaros).
wai gʉda yooro,"w g d d óó ó J] an. especie de mirla o mirlo (imita bien a otros pájaros; el macho es negro, la hembra es de color gris)."
waijatirica,"waijatiricaʉ waisoroare Eduria & Barasana – Español – 324 inan.f.n.esp. frutos del árbol waijatiricaʉ (alimentan a los peces). sing. waijatirica. pl. waijatiricari, waijatirica. sinón. jatirica, wa jat r caʉ r caa. V. wa jat r caʉ. waijatiricaʉ, waijatiricʉ w t E] w t J] inan. especie de árbol (que se encuentra por los ríos y que produce fruto que alimenta a todas las clases de peces)."
waijuria,pedazo de un pescado.
wai macana,"an.s.plural piratapuyos (grupo indígena). sing. wa macanagʉ , wa macanagõ."
wai masa,"an.s.plural waimaja (grupo indígena). sing. wa masʉ, wa maso."
wai misi,bejucos wai misi (especie utilizada en el tejido de abanico-volteadores).
wai misicaje,"retoño, mata del bejuco wai misi (especie utilizada para tejer volteadores)."
wai misi toa,"frutas ivapichunas wai misi toa (reg. comestibles). sing. wai misi toa. pl. wai misi toa, wai misi toari. V. toʉ."
wai ño ʉ,"1 frutas de la palma de ibacaba (bras.). sing. wa ñomʉa pl. wa ñomʉ, wa ñomʉar V. ñomʉ s a. 2 palmas de ibacaba."
wai ño ʉño,"palma de ibacaba (bras. que se encuentran por los ríos Vaupés y Apaporis, produce fruta comestible). sing. wa ñomʉño pl. wa ñomʉ, wa ñomʉñor sinón. wa ñomʉ."
wai paiyo,pájaro guardabosque vocífero. Lipaugus vociferans.
waipi waipi,chillido del pavo de monte.
wairaje,"lata de atún, sardinas. V. rujaraje. wai paiyo guardabosque vocífero"
waire,"rayar (con palito, lápiz), tachar."
Wairearicʉ,cerro ubicado cerca del río Cananarí.
wairiamaa,línea trazada.
waisica,wesica pospos. río arriba.
waisoroare,"dibujar, trazar círculo. 325 wa soroaya mʉʉ Dibuje/Trace círculos. V. waire. waitãnia paquete de pescado waitãnia inan. paquete de pescado envuelta en hoja."
waitoa,frutos del árbol waitoʉ (alimentan a pájaros y algunos animales).
waitoʉ,"especie de árbol (que se encuentra en la orilla del río y produce fruto que alimenta a pájaros y algunos animales). pl. wa toa yucʉ , wa toʉ yucʉ , wa toa yucʉ r , wa toʉ yucʉ r V. waitoa, toʉ."
waitõo,bojote de peces (peces engarzados por una cuerda). sinón. waibo. V. rujatõo. wai uria paragüero amazónico
wai uria,pájaro paragüero amazónico. Cephalopterus ornatus.
Waiya,"río Pirá-Paraná (nace en Waiya gojeri; su desembocadura es en el río Apaporis). V. apén. mapa1,2. Waiya gojeri inan. nacimiento, cabecera del río Pirá-Paraná. sinón. Waiya jode. Waiya jode inan. nacimiento, cabecera del río Pirá-Paraná. sinón. Waiya gojeri."
waja,"inan.s.de masa 1 valor, costo, precio. 2 venganza, castigo."
waja moore,"deber, endeudarse."
waja taare,"ganar (plata, sueldo)."
waja yirẽ oore,"w d ẽ mõ ẽ J] comprar más, pagar más. waja mani s.v.inan.f.n.esp. regalos, cosas que no tienen valor."
"wajacʉ, wajaco","m., f. enemigo, enemiga. 326 tud eja sĩaecore ñaañuju” y cama Dicen que si regresamos a la casa y comemos casabe que hemos llevado al monte, aunque hayamos escapado de nuestros enemigos, por volver a la casa, nos pueden matar. pl. wajana. sinón. ĩategʉ, jeyʉ."
wajajʉa,"1 más allá o allí, al lado de. 2 más adentro de la casa, lugar donde se cuelgan las hamacas en la casa. V. wajase, wisaaro."
wajase,"ser/estar) suave, arenosa (tierra). antón. widase. V. abase, sita wajase, wajawẽjase."
wajawẽjase,desprenderse (tierra).
wajeago,"viuda. sinón. manajʉ aj rocaweor o, manajʉ rijaweorio. waje bʉcʉa especie de bagre"
waje bʉcʉa,"especie de bagre (grande, manchada por las costillas)."
wajetiro,especie de culebra (no venenosa).
wajio E,weari J inan.f.n.esp. remos de canoa.
wajʉ,especie de árbol seringa o seringuiera (produce fruta comestible).
Wajʉ bota,"cerro en la cabecera del caño Paca (uso: se dice más que Querea yaa bota). 327 wajʉjaajearica, cajebua ardilla de Guianan"
wajʉjaajearica,"w J] an. ardilla de Guianan (especie pequeña con pelo moreno oscuro por la espalda y cola, blanco por la barriga). Sciurus aestuans."
Wajʉya,"caño, afluente del río Pirá-Paraná (que se ubica un poco debajo de Coasũaña y al lado oriente del río Pirá-Paraná). 3."
wapea,grano (en la piel).
wararʉcʉ,"especie de yuca brava. V. quĩ , rujarʉcʉ."
warecoere,"borrar, limpiar, lavar, quitar (por rozar)."
wareĩare,"examinar, probar (por tocar)."
warere,frotar.
wariquẽnare,"1 tener alegría, ponerse alegre. 2 (ser/estar) contento, contenta."
warocajuure,"w ó úú J] v.t. espinarse, puyar."
waru,lado.
waru gõa,costillas.
waruaga gũ u E,warua gũ u J w ú m inan. norte. sinón. waruaga soje. V. waruaga sojeri. waruaga sojeri el norte y el sur
waruaga sojeri E,warua sojeri J w ú só inan.pl. dos direcciones que se encuentran en sus warua gũ u wasobʉ Eduria & Barasana – Español – 328 respectivos lados del mundo de la gente eduria y arasana ara dec r “norte” y “sur”.
warubʉ,"costillas, caja torácica."
wasiabʉsaro,"hacer aparte (con un poco más espacio o tiempo entre), de vez en cuando."
wasiaro,hacer) aparte (con un espacio).
wasiase suaare,"w s s sú J] v.t. tejer flojamente, sueltamente (dejando espacio entre el tejido). antón. biyase suaare. —s.v.inan. tejido flojo."
wasi yire,dejar de hacer sonido (por la llegada de alguien o un animal).
wasoare,1 cambiar. 2 prestar.
wasobotiro,delantal de la danza.
wasobʉ,columpio (para bebé). 329 wasobʉ
wasojoa,bolsa del hombre (que se cuelga del hombro).
wasomaa,matapalo (especie de bejuco). Ficus o Urostigma spp.
wasoro,"1 tela de corteza del árbol tururí (bras. se utiliza para hacer la bolsa para filtrar coca, el carguero para bebé, y tradicionalmente el guayuco y otras cosas). V. wasuʉ. 2 guayuco, taparrabo. 3 cargador para bebé (reg.). 4 filtro de tururí (bolsa hecha de la corteza del árbol tururí para filtrar coca). sing. wasoro. pl. waso, wasorori. sinón. cají jaaria wasoro, cají jaariaro. V. wasuʉjoa. wasuʉ árbol tururí"
wasuʉ,"árbol tururí (bras. se utiliza la corteza para hacer tela y la savia se utiliza para pintar las caras de los niños). pl. wasuʉ yucʉ , wasuʉ yucʉ r . wasuʉ ríí inan.s.de masa savia del árbol tururí (mezclada con carayurú para pintar la cara de niños). V. cuure, gʉ nañe, ríí, sĩ e. wasuʉ jĩco gusano del escarabajo wasuʉ jĩco"
wasuʉ jĩco,"gusano, larva del escarabajo wasuʉ jĩco jacʉ (comestible). Pseudolucanus capreolus. 330 caídos. V. jĩco. wasuʉ jĩco jacʉ especie de escarabajo wasuʉ jĩco jacʉ an. especie de escarabajo. Pseudolucanus caprealus. wasuʉjoa bolsa para guardar coca"
wasuʉjoa,bolsa de corteza de tururí (que se usa para empacar coca).
watere,pulir olla de barro (con una roca lisa para que sea más durable).
wati,inan.s.de masa capa de raíces sobre el suelo del monte.
wati ãña,especie de culebra (no venenosa).
watise,tener caspa.
—s.v.inan.,
watoajʉ,"entre, en medio de, dentro de (árboles, agua, tierra, etc.)."
watoje,1 entre. 2 por el suelo.
wau,"viudita, sahuí de collar (especie de mono tití), vaicoco (reg.). Callicebus torquatus."
wau ẽjo,"inan.s.de masa tos ferina, influenza grave, gripe grave."
waure,"vadear, meterse (en agua baja y andar en ella)."
wauwase,aumentarse el volumen.
wauwijarʉ gʉ re,"w ú w ẽ J] v.i. vadear (a la mitad del río o caño). 331 ejacõar , wauw jarʉ gʉ re ñaacajʉ cũmua, “¿Tʉ awaar aro nojʉa quẽnat ” y gʉ Paseando en el río, al llegar a una cachivera, uno vadea a mirar cual lado servirá para llevar la canoa. V. waure."
Wauya,"caño, afluente del río Pirá-Paraná (debajo de Puerto Ortega). V. apén. mapa3."
wawitaare,cortar (con el punto de un instrumento afilado).
wayare,pescar (usualmente con red).
Wayu buuro,"Buenos Aires (cerro donde hay una comunidad de gente eduria y cabiyarí ubicada por el río Cananarí). 1. wayucaro inan. opérculo o cubierta branchial (pez). V. wayujua, apén. dibujo del pez."
wayucõmero,"w d ú mẽ J] inan. quijada, mandíbula inferior."
wayujua E,"wayubua J w d ú ú inan. mejilla (seres humanos), opérculo o cubierta branchial (pez)."
wayusũaro,pez colirrojo (especie de pez comestible).
wãare,"alumbrar, iluminar (con antorcha, linterna). 1 pilas. 2 linternas. sing. wãaria."
ĩi wãase,la iluminación de él.
wãaria,"linterna. pl. wãare, wãariari. sinón. sĩa r a. V. rujaa, wãare ‘ las, l nternas’."
wãcujumisi,"especie de bejuco (con hojas pequeñas y fruto incomible, se usan las hojas al punto del bejuco para hacer un remedio contra diarrea). sing. wãcujumisimaa. pl. wãcujumisi, wãcujumisimaari. wãcujumisimaa especie de bejuco"
wãcujũu,hojas secas del wãgãre wã ʉ Eduria & Barasana – Español – 332 palo de la uva del monte (usadas para mezclar con la coca).
wãgãre,"salir de (la canoa, hamaca, avioneta), bajarse de (moto)."
wãia aboriaro,w ĩ o o J] s.v.inan. molinillo.
wãiabiore,"atornillar, apretar (tornillo)."
wãiabioriawaca,"w ĩ o w J] s.v.inan. tornillo. V. cõmewaca, wãiabiore, wãiaweare, wãiawejere."
wãiacũure,tejer hojas de caraná y alistarlas (en preparación para techar).
wãiarã,"an.s.plural yurutí (grupo indígena). sing. wã arãgʉ , wã arãgõ."
wãiare,"1 tejer hojas del caraná (por retorcer los tallos alrededor de una tira de la madera de palma de pachúa). 2 moler (comida). 3 retorcer, exprimir (ropa)."
wãiaweare,"destornillar, desapretar (un tornillo)."
wãiawejere,"destornillar, aflojar, desapretar (tornillos)."
wãjeja,an.s.plural ranas wãjeja (comestibles).
Wãmara,parte ancha del río Pirá-Paraná un poco río arriba de San Miguel. V. rujara.
wãme,nombre.
wã ʉ,umarí (bras. especie de fruta comestible). Ziziphus mauritiana. wã ʉ bodeca wãni Eduria & Barasana – Español – 333
wã ʉ bodeca,guaracú (bras. especie de pez que tiene manchas negras por las costillas). Leporinus agassizi. sinón. bodeca.
wã ʉbuu,especie de escarabajo estercolero (con casco verde). Stenocrates spp.
wã ʉguiguia ʉ,"w m g g m J] an. especie de cigarra (rayada de verde y negro, alas claras y largas, zumba sin interrupción). Tibicen spp."
wã ʉ sũarica,w m s ĩ J] an. especie de culebra (comestible).
wãnari,especie de ave acuática (parecida al piquero patiazul). Sula nebouxii.
wãni,"mojarra, hacha o jacha (reg. especie de pez comestible del tamaño medio). wãnia tĩ i wãsia gʉdaʉ Eduria & Barasana – Español – 334 Aequidens sp."
wãnia tĩ i,perro de agua (especie de nutria). Lutra longicaudis.
wãni ojo,bananos wãni ojo (especie grueso y corto).
wãni toa,"frutas ivapichunas wãni toa (reg. comestibles). sing. wãni toa. pl. wãni toa, wãni toari. V. toʉ."
wãnore,bendecir (para proteger del maldad en el futuro).
wãnʉse,crecer bien (planta).
wãquigʉ,"uno que pica haciendo rascarse o causa rasquiñas por tocar (como insecto, oruga, etc.)."
wãquiore,rascarse.
wãquise,rascarse.
wãrebeti,cosa inanimada (que no se mueve por ser pesada).
wãrese,"1 moverse, temblar (muñeca, casa). 2 palpitar, latir (corazón)."
wãsi,"lombriz, gusano, parásito."
wãsia gʉda,frutas wãsia gʉda (que alimentan a pájaros y algunos animales). sing. wãs a gʉda pl. wãsia gʉda V. wãs a gʉdaʉ.
